income,year,sex,age_group,type,expected.mean,acm.mean,excess.mean*
HIC,2020,Female,25-34,predicted,38912,42420,3052
HIC,2020,Female,35-44,predicted,76523,84455,7477
HIC,2020,Female,45-54,predicted,178411,190120,11251
HIC,2020,Female,55-64,predicted,403376,429427,25591
HIC,2020,Female,65-74,predicted,749981,812530,62089
HIC,2020,Female,75-84,predicted,1362851,1482197,118885
HIC,2020,Female,>85,predicted,2540202,2758533,217865
HIC,2020,Male,0-24,predicted,101767,103076,850
HIC,2020,Male,25-34,predicted,93655,103617,9507
HIC,2020,Male,35-44,predicted,147565,168675,20656
HIC,2020,Male,45-54,predicted,324192,357713,33066
HIC,2020,Male,55-64,predicted,721978,785228,62792
HIC,2020,Male,65-74,predicted,1177567,1304717,126699
HIC,2020,Male,75-84,predicted,1567337,1746417,178633
HIC,2020,Male,>85,predicted,1481706,1688773,206633
HIC,2021,Female,0-24,predicted,58301,60555,2102
HIC,2021,Female,25-34,predicted,38452,44541,5942
HIC,2021,Female,35-44,predicted,75952,87920,11822
HIC,2021,Female,45-54,predicted,176847,205541,28551
HIC,2021,Female,55-64,predicted,402936,469458,66388
HIC,2021,Female,65-74,predicted,762804,878014,115080
HIC,2021,Female,75-84,predicted,1363451,1502541,138930
HIC,2021,Female,>85,predicted,2575741,2719576,143588
HIC,2021,Male,0-24,predicted,98727,105587,6708
HIC,2021,Male,25-34,predicted,91976,107404,15282
HIC,2021,Male,35-44,predicted,146355,172856,26360
HIC,2021,Male,45-54,predicted,321362,379888,58392
HIC,2021,Male,55-64,predicted,722646,856991,134230
HIC,2021,Male,65-74,predicted,1197521,1382126,184488
HIC,2021,Male,75-84,predicted,1579402,1753756,174201
HIC,2021,Male,>85,predicted,1522434,1686031,163441
