income,year,month,type,expected.mean,acm.mean,excess.mean*,cumul.excess.mean*,cumul.excess.low*,cumul.excess.high*
HIC,2020,5,Predicted,881933,958645,76105,336401,309553,362745
HIC,2020,6,Predicted,856801,881939,24531,360932,331583,390554
HIC,2020,7,Predicted,867460,928105,60038,420970,388146,453026
HIC,2020,8,Predicted,865266,949766,83893,504863,469929,540400
HIC,2020,9,Predicted,858371,904653,45675,550538,513521,587917
HIC,2020,10,Predicted,894236,1012682,117838,668376,627882,708269
HIC,2020,11,Predicted,933099,1127966,194260,862636,819923,902155
HIC,2020,12,Predicted,1005991,1227377,220779,1083415,1038705,1124483
HIC,2021,1,Predicted,1007368,1279095,271529,1354944,1310493,1399238
HIC,2021,2,Predicted,990317,1019350,28835,1383779,1336421,1430389
HIC,2021,3,Predicted,978180,1040420,62042,1445821,1394886,1494727
HIC,2021,4,Predicted,924278,997531,73056,1518877,1467771,1569811
HIC,2021,5,Predicted,891326,963025,71501,1590378,1539268,1642147
HIC,2021,6,Predicted,865387,903723,38138,1628516,1576654,1682137
HIC,2021,7,Predicted,876243,936752,60311,1688827,1633109,1747044
HIC,2021,8,Predicted,874235,995977,121544,1810372,1753482,1866392
HIC,2021,9,Predicted,866746,992240,125297,1935668,1875398,1993215
HIC,2021,10,Predicted,903196,1048527,145133,2080802,2013961,2141852
HIC,2021,11,Predicted,942209,1070995,128588,2209390,2144726,2271323
HIC,2021,12,Predicted,1015423,1165150,149530,2358919,2292236,2421740
